,Game Name,Place Ids,Min Price,Max Price,Median Price,Mean Price
0,Blox Fruits,2753915549,350,2700,450.0,916.6666666666666
1,Welcome to Bloxburg,185655149,100,600,275.0,291.25
2,PLS DONATE 💸,8737602449,49,100000,399.0,14577.714285714286
3,[SUMMER🎡] Adopt Me!,920587237,85,1060,640.0,594.8571428571429
4,Pet Simulator 99! 💰,8737899170,175,3250,625.0,1072.9166666666667
5,[PSYCHIC] The Strongest Battlegrounds,10449761463,99,499,199.0,227.57142857142858
6,[💥 EP 74 PART 1] Toilet Tower Defense,13775256536,79,229,149.0,151.5
7,Blade Ball,13772394625,159,319,319.0,265.6666666666667
8,Brookhaven 🏡RP,4924922222,30,799,237.0,337.85714285714283
9,Dress To Impress 💖,15101393044,59,799,199.0,250.22222222222223
10,Anime Defenders [TOWER],17017769292,99,1299,299.0,565.6666666666666
11,[UPDATE 1] Gym League,17450551531,39,999,499.0,485.6666666666667
12,Murder Mystery 2,142823291,475,3399,1699.0,1554.2
13,Jujutsu Shenanigans,9391468976,100,300,150.0,183.33333333333334
14,a dusty trip [FREE CAR],16389395869,99,799,549.0,479.0
15,[⌛ SOON] Attack on Titan Revolution,13379208636,79,1649,299.0,539.0
16,[McLaren] Driving Empire 🏎️ Car Racing,3351674303,10,500,30.0,118.33333333333333
17,BedWars [Ballista],6872265039,399,799,399.0,424.80645161290323
18,Bee Swarm Simulator,1537690962,250,800,400.0,483.3333333333333
19,⚡NEW SKINS⚡  Tower Defense Simulator,3260590327,70,2250,382.5,621.7857142857143
20,(Renault 5) Greenville,891852901,65,500,100.0,173.57142857142858
21,[📲UPDATE 10] Grand Piece Online,1730877806,75,5000,162.5,606.25
22,[💥74] Skibidi Tower Defense,15444929588,49,499,224.0,254.0
23,Berry Avenue 🏠 RP,8481844229,149,799,399.0,424.125
24,Da Hood,2788229376,15,175,100.0,98.75
25,[🎉2B!] Slap Battles👏,6403373529,2,799,249.0,322.0
26,[⏳SUMMER UPDATE💎] A Universal Time 3.5 🏊‍♀️,5130598377,120,2500,200.0,523.5714285714286
27,Deepwoken,4111023553,150,150,150.0,150.0
28,Jailbreak,606849621,200,800,335.0,370.0
29,GALAXY 🚀 Dragon Adventures 🐉 Fantasy Pets ✨,3475397644,175,500,350.0,345.0
30,War Tycoon,4639625707,39,2499,199.0,554.0
31,Royale🌴High [POOL PARTY],735030788,50,1649,249.0,383.0
32,Arm Wrestle Simulator,13127800756,0,599,189.0,232.38095238095238
33,Emergency Response: Liberty County,2534724415,75,750,217.5,275.5
34,Sol's RNG,15532962292,80,249,100.0,143.0
35,Southwest Florida Beta,5104202731,19,399,149.0,165.14285714285714
36,[UPDATE 6] King Legacy,4520749081,350,2500,1000.0,1228.5714285714287
37,Murderers VS Sheriffs Duels,12355337193,399,399,399.0,399.0
38,[🔥S8] Ultimate Football 🏈 Sport League,2338325648,199,799,399.5,455.5
39,South Bronx: The Trenches❗,10179538382,100,800,600.0,513.0
